cpus=12
 template_target-851439 [006] ...1. 1990798.410884: funcgraph_entry:        0.753 us   |  mutex_unlock();
          <idle>-0     [001] ...2. 1990798.411015: funcgraph_entry:                   |  cpuidle_reflect() {
          <idle>-0     [002] d..2. 1990798.411015: funcgraph_entry:                   |  cpuidle_get_cpu_driver() {
          <idle>-0     [001] ...2. 1990798.411015: funcgraph_exit:         0.246 us   |  }
          <idle>-0     [001] ...2. 1990798.411015: funcgraph_entry:                   |  arch_cpu_idle_exit() {
          <idle>-0     [002] d..2. 1990798.411015: funcgraph_exit:         0.224 us   |  }
          <idle>-0     [002] d..2. 1990798.411015: funcgraph_entry:                   |  cpuidle_not_available() {
          <idle>-0     [001] ...2. 1990798.411015: funcgraph_exit:         0.297 us   |  }
          <idle>-0     [001] d..2. 1990798.411016: funcgraph_entry:        0.173 us   |  arch_cpu_idle_enter();
          <idle>-0     [001] d..2. 1990798.411016: funcgraph_entry:        0.096 us   |  rcu_nocb_flush_deferred_wakeup();
          <idle>-0     [002] d..2. 1990798.411016: funcgraph_exit:         0.227 us   |  }
          <idle>-0     [001] d..2. 1990798.411016: funcgraph_entry:        0.094 us   |  cpuidle_get_cpu_driver();
          <idle>-0     [002] d..2. 1990798.411016: funcgraph_entry:                   |  cpuidle_select() {
          <idle>-0     [001] d..2. 1990798.411016: funcgraph_entry:        0.095 us   |  cpuidle_not_available();
          <idle>-0     [001] d..2. 1990798.411016: funcgraph_entry:                   |  cpuidle_select() {
          <idle>-0     [011] ...2. 1990798.411016: funcgraph_exit:         5.941 us   |  }
          <idle>-0     [011] ...2. 1990798.411017: funcgraph_entry:                   |  do_idle() {
          <idle>-0     [001] d..2. 1990798.411017: funcgraph_exit:         0.958 us   |  }
          <idle>-0     [002] d..2. 1990798.411018: funcgraph_exit:         1.344 us   |  }
          <idle>-0     [001] d..2. 1990798.411018: funcgraph_entry:        0.094 us   |  tick_nohz_tick_stopped();
          <idle>-0     [000] ...2. 1990798.411018: funcgraph_exit:       + 35.512 us  |  }
          <idle>-0     [002] d..2. 1990798.411018: funcgraph_entry:                   |  tick_nohz_idle_stop_tick() {
          <idle>-0     [001] d..2. 1990798.411018: funcgraph_entry:        0.103 us   |  tick_nohz_idle_retain_tick();
          <idle>-0     [000] ...2. 1990798.411018: funcgraph_entry:                   |  do_idle() {
          <idle>-0     [001] d..2. 1990798.411018: funcgraph_entry:                   |  call_cpuidle() {
          <idle>-0     [002] d..2. 1990798.411020: funcgraph_exit:         2.374 us   |  }
          <idle>-0     [002] d..2. 1990798.411020: funcgraph_entry:                   |  call_cpuidle() {
 template_target-851439 [006] ...1. 1990798.411199: funcgraph_exit:       ! 312.871 us |  }
 template_target-851439 [006] d..1. 1990798.411199: funcgraph_entry:        0.139 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] d..1. 1990798.411199: funcgraph_entry:        0.232 us   |  switch_fpu_return();
 template_target-851439 [006] ...1. 1990798.411200: funcgraph_entry:        0.204 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411201: funcgraph_entry:        4.035 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411205: funcgraph_entry:        0.108 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411206: funcgraph_entry:        0.203 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411206: funcgraph_entry:        6.738 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411213: funcgraph_entry:        0.102 us   |  fpregs_assert_state_consistent();
